Student_ID,Age,Gender,State,Branch,College_Tier,CGPA,Attendance_Percentage,DSA_Problems_Solved,Aptitude_Score,Communication_Score,Projects_Count,Internships_Count,Certifications_Count,Open_Source_Contributions,GitHub_Contributions,LinkedIn_Activity_Score,Hackathons_Participated,Competitive_Programming_Rating,Study_Hours_Per_Week,Soft_Skills_Score,Leadership_Experience,Extracurricular_Activities,Placement_Status,Package_LPA
ST04225,20,Male,Bihar,Mechanical,Tier-1,8.11,82.37,173,47,40,5,3,3,39.0,421,29.0,4,829,29,42,Yes,2,Placed,6.58
ST04226,23,Male,Tamil Nadu,EEE,Tier-2,7.84,68.99,176,38,52,4,0,1,62.0,276,19.0,2,999,24,46,No,3,Not Placed,0.0
ST04227,21,Male,Rajasthan,IT,Tier-2,8.07,80.34,272,33,68,5,0,3,200.0,783,37.0,5,1653,18,63,No,5,Placed,12.58
ST04228,20,Male,Maharashtra,CSE,Tier-3,7.0,67.93,155,52,40,4,3,3,36.0,462,48.0,4,1308,20,34,No,3,Placed,5.29
ST04229,21,Female,Andhra Pradesh,Mechanical,Tier-1,6.6,64.03,156,42,73,3,1,5,67.0,938,33.0,2,749,0,72,No,1,Placed,8.92
ST04230,20,Male,Rajasthan,Chemical,Tier-2,8.86,76.62,138,63,59,3,1,4,38.0,202,11.0,3,621,31,58,Yes,3,Placed,4.0
ST04231,25,Female,Telangana,Mechanical,Tier-2,6.21,68.07,86,30,71,4,1,2,18.0,273,44.0,0,407,7,58,No,3,Not Placed,0.0
ST04232,19,Female,West Bengal,CSE,Tier-3,7.6,81.25,285,34,44,4,0,4,364.0,1406,20.0,0,2016,30,45,No,1,Placed,22.21
ST04233,22,Male,Rajasthan,CSE,Tier-1,9.3,63.16,316,44,57,8,1,7,112.0,606,17.0,4,1831,23,49,No,1,Placed,21.51
ST04234,22,Female,Telangana,IT,Tier-3,7.65,72.48,205,65,52,6,2,8,67.0,818,27.0,1,1345,11,52,Yes,2,Placed,6.36
ST04235,19,Female,Karnataka,Chemical,Tier-2,8.01,91.47,120,68,54,3,3,3,32.0,206,6.0,0,901,21,63,No,1,Not Placed,0.0
ST04236,20,Male,Uttar Pradesh,CSE,Tier-2,8.02,59.99,212,47,58,2,2,2,48.0,932,55.0,1,1455,28,63,No,1,Placed,10.59
ST04237,21,Female,Rajasthan,IT,Tier-3,8.34,72.75,328,26,58,2,2,1,202.0,684,24.0,1,2309,31,62,No,4,Placed,8.55
ST04238,23,Male,Tamil Nadu,ECE,Tier-3,8.51,75.04,210,49,52,5,3,1,103.0,522,23.0,3,984,22,53,No,1,Placed,9.27
ST04239,21,Male,West Bengal,CSE,Tier-3,6.14,70.68,199,36,45,5,3,8,153.0,658,28.0,3,1408,22,38,No,3,Placed,5.66
ST04240,22,Male,Karnataka,CSE,Tier-3,8.47,82.25,379,59,33,3,3,2,143.0,616,0.0,1,2435,38,48,No,1,Not Placed,0.0
ST04241,22,Female,Bihar,CSE,Tier-3,7.3,74.36,176,24,53,4,0,5,89.0,399,7.0,4,1582,27,61,No,1,Placed,11.58
ST04242,23,Female,Delhi,ECE,Tier-3,6.71,82.54,78,41,31,4,1,4,22.0,521,20.0,0,395,18,39,No,2,Not Placed,0.0
ST04243,21,Female,Telangana,AIML,Tier-2,6.59,68.46,219,79,63,5,1,4,170.0,652,35.0,6,1421,10,45,No,2,Placed,10.25
ST04244,21,Female,Haryana,CSE,Tier-2,7.72,82.09,239,25,51,8,0,5,59.0,982,4.0,1,1543,25,49,No,3,Placed,11.38
ST04245,22,Male,Punjab,ECE,Tier-2,7.03,71.44,135,46,50,1,1,2,58.0,420,14.0,1,724,29,49,No,2,Placed,5.04
ST04246,20,Male,Maharashtra,Mechanical,Tier-3,7.42,79.2,145,49,41,2,0,5,52.0,603,53.0,1,658,17,49,No,0,Not Placed,0.0
ST04247,23,Male,Tamil Nadu,EEE,Tier-2,7.5,69.51,107,25,57,3,1,1,138.0,584,39.0,4,768,32,57,No,1,Not Placed,0.0
ST04248,18,Male,Telangana,Mechanical,Tier-1,8.0,69.35,194,52,60,4,1,2,74.0,605,7.0,1,808,23,58,No,1,Placed,6.97
ST04249,20,Female,Tamil Nadu,ECE,Tier-2,8.18,66.97,104,44,50,2,3,2,47.0,176,14.0,2,726,25,56,No,2,Placed,6.53
ST04250,22,Male,Tamil Nadu,Mechanical,Tier-3,8.35,74.94,118,54,56,2,1,2,35.0,186,28.0,2,570,35,53,Yes,3,Placed,2.74
ST04251,20,Male,Tamil Nadu,CSE,Tier-2,8.48,72.2,330,44,50,7,4,9,164.0,967,15.0,4,2450,38,52,No,1,Placed,44.99
ST04252,20,Male,Karnataka,CSE,Tier-3,8.64,80.01,185,51,55,2,1,5,45.0,401,42.0,4,1188,21,51,No,1,Placed,5.62
ST04253,20,Male,Maharashtra,Mechanical,Tier-2,7.28,78.04,124,43,71,1,0,4,44.0,331,31.0,1,414,29,72,Yes,4,Not Placed,0.0
ST04254,21,Male,Tamil Nadu,IT,Tier-2,6.88,79.23,261,33,55,5,0,6,84.0,411,73.0,2,1661,7,52,Yes,3,Not Placed,0.0
ST04255,23,Male,Maharashtra,AIML,Tier-3,7.28,79.05,329,36,49,1,0,6,217.0,853,7.0,2,1946,10,47,No,3,Placed,9.45
ST04256,19,Male,Telangana,CSE,Tier-1,7.33,81.13,242,38,32,6,0,1,204.0,1879,33.0,5,1954,25,40,No,3,Placed,21.27
ST04257,19,Male,Karnataka,Civil,Tier-2,6.38,75.22,72,29,64,3,0,3,62.0,227,0.0,3,751,5,57,No,7,Not Placed,0.0
ST04258,21,Male,Maharashtra,Civil,Tier-3,7.13,64.93,94,33,23,5,1,5,22.0,421,7.0,1,656,2,33,Yes,1,Not Placed,0.0
ST04259,24,Female,Haryana,CSE,Tier-2,8.08,77.83,202,25,60,5,3,6,168.0,571,36.0,4,1325,21,59,No,0,Placed,22.21
ST04260,20,Male,Delhi,IT,Tier-2,8.53,72.22,260,37,49,4,3,3,65.0,566,23.0,4,2054,24,44,No,0,Placed,20.47
ST04261,24,Male,Madhya Pradesh,AIML,Tier-1,7.67,73.55,331,20,59,4,2,8,149.0,548,17.0,2,2183,22,53,No,2,Placed,22.54
ST04262,23,Male,Jharkhand,AIML,Tier-2,8.42,76.61,229,59,39,3,2,4,91.0,396,17.0,2,1795,11,30,No,2,Placed,10.52
ST04263,20,Male,Delhi,AIML,Tier-2,7.51,56.59,208,46,43,3,1,4,170.0,835,21.0,3,1313,28,47,No,2,Placed,8.79
ST04264,22,Male,Punjab,AIML,Tier-2,5.48,60.23,163,34,21,4,0,2,113.0,687,15.0,0,1241,3,30,Yes,3,Placed,7.84
ST04265,22,Male,Karnataka,Mechanical,Tier-2,6.34,66.8,96,27,71,5,0,0,37.0,329,34.0,2,592,14,56,No,1,Not Placed,0.0
ST04266,21,Female,Gujarat,Chemical,Tier-3,7.7,55.07,106,29,47,7,1,2,64.0,270,14.0,2,542,9,46,Yes,4,Not Placed,0.0
ST04267,21,Female,Andhra Pradesh,CSE,Tier-2,5.96,78.24,199,25,48,1,2,2,49.0,530,4.0,1,1260,9,49,No,2,Placed,2.06
ST04268,22,Male,West Bengal,IT,Tier-1,6.62,72.02,288,25,30,5,0,9,111.0,836,6.0,1,1814,9,38,Yes,3,Placed,10.16
ST04269,22,Male,Maharashtra,EEE,Tier-3,6.05,70.19,45,9,42,1,0,1,41.0,153,13.0,1,494,6,44,No,0,Not Placed,0.0
ST04270,22,Male,Bihar,IT,Tier-3,7.17,80.1,227,38,31,5,0,2,60.0,397,0.0,2,1880,12,39,No,4,Placed,8.39
ST04271,25,Male,Uttar Pradesh,CSE,Tier-1,7.95,80.44,305,34,30,2,1,3,245.0,1109,21.0,1,1957,2,43,No,2,Placed,46.86
ST04272,21,Male,Punjab,CSE,Tier-2,6.05,74.36,156,32,61,2,1,4,56.0,376,27.0,2,1209,14,48,No,4,Not Placed,0.0
ST04273,22,Female,Uttarakhand,EEE,Tier-2,8.14,83.23,174,31,47,3,1,8,64.0,416,17.0,3,528,12,59,No,2,Placed,8.44
ST04274,23,Male,Kerala,CSE,Tier-3,7.36,75.65,180,21,88,0,2,5,193.0,966,49.0,4,1281,16,76,Yes,1,Placed,12.66
ST04275,20,Male,Tamil Nadu,CSE,Tier-3,6.23,72.2,184,32,46,2,0,4,194.0,810,23.0,2,1703,15,42,No,2,Placed,7.79
ST04276,19,Male,Uttar Pradesh,Mechanical,Tier-3,7.38,76.76,151,12,43,5,2,2,82.0,265,7.0,3,898,17,44,No,1,Not Placed,0.0
ST04277,21,Male,West Bengal,IT,Tier-2,6.86,62.7,237,50,79,2,0,3,119.0,795,56.0,2,1862,26,78,Yes,5,Placed,10.85
ST04278,23,Male,Andhra Pradesh,Civil,Tier-2,6.84,57.12,110,37,49,1,0,1,42.0,222,17.0,2,626,13,46,No,5,Not Placed,0.0
ST04279,20,Male,Uttar Pradesh,ECE,Tier-2,6.42,56.11,173,28,56,2,2,4,70.0,544,0.0,0,713,4,54,No,1,Not Placed,0.0
ST04280,22,Male,West Bengal,CSE,Tier-3,7.33,78.38,199,37,68,8,0,4,53.0,456,67.0,1,1310,13,57,No,7,Placed,5.22
ST04281,18,Male,Madhya Pradesh,CSE,Tier-2,7.29,69.6,233,56,57,1,1,1,51.0,452,35.0,4,1811,9,62,Yes,5,Placed,9.13
ST04282,21,Male,Tamil Nadu,Civil,Tier-2,7.28,71.38,106,37,50,4,2,3,29.0,156,68.0,1,581,20,55,No,3,Not Placed,0.0
ST04283,21,Female,Maharashtra,CSE,Tier-2,7.39,74.76,218,40,74,4,3,4,58.0,389,29.0,1,1827,14,77,No,4,Placed,10.61
ST04284,19,Male,West Bengal,IT,Tier-3,7.55,84.1,187,31,63,2,2,2,253.0,1405,34.0,5,1526,27,55,No,3,Placed,8.49
ST04285,23,Male,Delhi,IT,Tier-3,7.18,77.6,209,56,81,6,0,6,138.0,1157,46.0,6,1775,15,79,No,3,Not Placed,0.0
ST04286,20,Female,Madhya Pradesh,Chemical,Tier-2,5.81,70.0,92,35,71,4,0,2,33.0,185,41.0,1,609,18,56,No,3,Not Placed,0.0
ST04287,23,Female,Rajasthan,Chemical,Tier-2,7.46,76.77,107,57,56,2,2,0,49.0,637,40.0,5,466,13,56,No,0,Placed,8.77
ST04288,20,Male,Uttar Pradesh,Mechanical,Tier-3,6.53,86.56,59,8,50,2,1,3,68.0,229,40.0,1,756,13,48,No,4,Not Placed,0.0
ST04289,25,Male,West Bengal,AIML,Tier-3,8.3,69.63,211,30,49,6,0,4,139.0,675,46.0,1,1201,14,53,No,6,Placed,10.13
ST04290,21,Male,Kerala,CSE,Tier-2,7.86,84.89,209,42,42,5,1,6,124.0,541,33.0,2,1587,24,52,No,2,Placed,13.71
ST04291,19,Male,Tamil Nadu,CSE,Tier-3,8.19,76.36,184,54,53,2,2,5,101.0,724,48.0,2,1059,18,38,Yes,2,Placed,14.26
ST04292,19,Female,Maharashtra,CSE,Tier-3,6.88,71.48,146,50,68,3,2,6,77.0,728,38.0,1,1117,26,50,No,0,Placed,5.77
ST04293,19,Male,Delhi,Chemical,Tier-1,8.51,81.6,271,46,79,2,1,2,93.0,487,99.0,1,1043,20,71,No,1,Placed,12.34
ST04294,21,Male,Maharashtra,EEE,Tier-2,6.55,58.06,73,23,44,4,1,4,54.0,330,59.0,2,433,31,50,No,0,Not Placed,0.0
ST04295,22,Male,Bihar,CSE,Tier-1,7.73,67.26,342,30,54,4,4,7,116.0,562,16.0,3,2275,17,61,Yes,1,Placed,11.91
ST04296,21,Male,Karnataka,Mechanical,Tier-3,6.57,73.78,95,52,64,3,1,0,41.0,208,54.0,1,410,31,54,No,2,Not Placed,0.0
ST04297,21,Male,Uttar Pradesh,CSE,Tier-3,7.85,78.34,166,49,38,3,0,5,158.0,536,36.0,3,1471,29,51,No,3,Placed,8.41
ST04298,21,Male,Bihar,ECE,Tier-1,9.21,83.48,229,63,51,5,1,6,56.0,369,24.0,2,713,20,49,Yes,2,Placed,13.64
ST04299,21,Male,Maharashtra,CSE,Tier-2,7.8,79.94,204,67,43,6,3,7,160.0,1082,12.0,1,1570,15,52,No,0,Placed,10.01
ST04300,22,Female,Maharashtra,ECE,Tier-3,6.08,83.5,127,0,46,4,0,4,29.0,151,0.0,1,487,23,33,No,2,Not Placed,0.0
ST04301,21,Female,Maharashtra,AIML,Tier-3,6.77,67.17,267,22,67,7,1,6,66.0,597,28.0,4,1939,10,61,No,0,Placed,7.25
ST04302,22,Female,Jharkhand,CSE,Tier-2,10.0,84.73,290,39,55,7,2,8,104.0,802,15.0,4,2118,13,68,Yes,4,Placed,21.37
ST04303,25,Female,Chhattisgarh,Chemical,Tier-2,8.2,81.46,220,16,49,4,0,4,56.0,629,15.0,3,740,25,55,No,4,Not Placed,0.0
ST04304,21,Female,Uttar Pradesh,Civil,Tier-2,6.84,74.51,154,42,74,3,0,6,92.0,337,37.0,0,645,13,70,No,1,Not Placed,0.0
ST04305,18,Other,Rajasthan,ECE,Tier-1,8.53,76.54,199,31,54,1,2,5,65.0,512,21.0,3,866,23,48,No,0,Placed,12.32
ST04306,19,Male,Rajasthan,Mechanical,Tier-3,7.45,68.41,110,31,35,3,1,5,23.0,343,5.0,0,835,11,35,No,1,Not Placed,0.0
ST04307,21,Male,Maharashtra,AIML,Tier-3,9.58,79.21,240,52,45,8,0,7,110.0,821,18.0,2,1473,27,48,Yes,3,Placed,7.44
ST04308,20,Male,Karnataka,IT,Tier-2,7.56,83.27,248,40,51,5,2,2,104.0,630,54.0,6,1858,20,52,Yes,5,Placed,12.55
ST04309,24,Male,Kerala,AIML,Tier-3,7.13,88.18,212,57,54,1,0,9,120.0,517,53.0,2,1807,9,53,Yes,4,Not Placed,0.0
ST04310,22,Female,Karnataka,CSE,Tier-2,7.44,61.61,199,45,88,3,4,4,83.0,1089,46.0,4,1384,31,87,No,3,Placed,12.39
ST04311,21,Male,Andhra Pradesh,ECE,Tier-3,7.02,72.59,49,9,33,5,1,3,24.0,130,6.0,1,666,17,44,No,4,Not Placed,0.0
ST04312,22,Female,Karnataka,Mechanical,Tier-3,6.74,59.1,243,26,45,0,1,3,62.0,347,9.0,3,1098,11,54,No,4,Not Placed,0.0
ST04313,20,Female,Andhra Pradesh,Mechanical,Tier-1,6.79,66.65,153,25,74,1,1,4,47.0,433,51.0,0,554,9,67,Yes,3,Not Placed,0.0
ST04314,22,Male,Karnataka,ECE,Tier-3,6.94,73.87,60,62,62,4,4,3,41.0,275,34.0,1,327,21,56,No,1,Placed,7.39
ST04315,18,Male,Karnataka,ECE,Tier-3,8.0,67.3,146,62,80,5,1,1,50.0,258,64.0,2,786,15,72,Yes,1,Placed,9.1
ST04316,21,Male,Maharashtra,EEE,Tier-2,7.28,70.16,90,37,70,3,2,3,20.0,143,34.0,2,507,17,69,No,3,Placed,6.88
ST04317,24,Male,Uttarakhand,Chemical,Tier-2,7.01,68.22,141,27,50,3,0,2,31.0,235,38.0,1,624,22,45,Yes,2,Not Placed,0.0
ST04318,22,Male,Maharashtra,CSE,Tier-1,6.62,72.55,246,40,61,2,1,6,78.0,935,28.0,2,975,15,64,No,2,Placed,8.96
ST04319,23,Male,Uttar Pradesh,IT,Tier-3,7.95,72.48,191,49,37,7,2,4,108.0,543,28.0,1,1424,9,48,No,3,Placed,5.54
ST04320,21,Male,Uttar Pradesh,Civil,Tier-2,8.87,86.57,162,47,54,3,0,4,38.0,251,30.0,3,860,27,60,No,2,Placed,7.87
ST04321,23,Male,Tamil Nadu,ECE,Tier-2,6.78,71.24,109,3,65,7,2,2,39.0,329,4.0,0,665,24,52,No,2,Not Placed,0.0
ST04322,21,Male,Punjab,Mechanical,Tier-2,6.96,66.12,241,30,55,3,2,5,77.0,495,56.0,2,1047,24,54,Yes,3,Not Placed,0.0
ST04323,21,Male,Tamil Nadu,ECE,Tier-2,6.72,60.48,156,28,53,1,0,3,39.0,193,36.0,1,605,12,52,Yes,1,Not Placed,0.0
ST04324,19,Male,Delhi,Chemical,Tier-2,8.2,70.18,105,35,65,2,0,5,23.0,227,34.0,0,714,15,62,Yes,1,Not Placed,0.0
ST04325,20,Female,Andhra Pradesh,Civil,Tier-1,8.64,76.17,176,24,77,3,3,2,85.0,312,35.0,1,685,31,68,No,3,Placed,10.82
ST04326,21,Male,Kerala,ECE,Tier-3,7.48,77.39,108,51,61,3,2,2,35.0,170,38.0,1,748,13,64,No,3,Placed,3.56
ST04327,19,Female,Haryana,CSE,Tier-2,6.49,75.7,167,34,71,2,1,3,83.0,752,28.0,3,1449,1,73,No,0,Not Placed,0.0
ST04328,22,Male,Karnataka,ECE,Tier-3,7.68,80.91,100,31,53,3,1,6,34.0,224,33.0,2,511,23,48,No,2,Not Placed,0.0
ST04329,23,Male,Rajasthan,AIML,Tier-2,7.7,78.49,216,23,40,2,2,2,91.0,671,16.0,5,2095,4,51,No,1,Placed,5.98
ST04330,24,Other,Punjab,AIML,Tier-2,7.78,81.62,248,32,48,4,2,1,74.0,458,24.0,4,1448,19,43,No,1,Placed,12.41
ST04331,19,Female,Madhya Pradesh,ECE,Tier-3,6.46,68.22,83,37,44,4,0,3,31.0,273,22.0,0,337,31,46,No,3,Not Placed,0.0
ST04332,24,Male,Odisha,ECE,Tier-2,6.55,69.62,92,49,58,1,1,1,74.0,355,54.0,0,743,25,61,No,3,Not Placed,0.0
ST04333,19,Female,Rajasthan,Civil,Tier-2,6.12,65.28,111,47,71,2,3,3,36.0,167,47.0,0,771,13,53,No,1,Not Placed,0.0
ST04334,21,Male,Uttar Pradesh,CSE,Tier-2,8.48,71.47,230,34,59,8,3,3,239.0,734,40.0,2,1719,20,56,No,3,Placed,21.12
ST04335,23,Female,Tamil Nadu,AIML,Tier-2,8.51,86.75,244,79,40,4,3,7,214.0,870,18.0,1,1949,26,46,No,4,Placed,10.0
ST04336,19,Male,Kerala,EEE,Tier-2,6.12,68.24,58,62,66,1,4,1,105.0,254,62.0,2,667,27,54,No,0,Placed,4.65
ST04337,18,Female,Madhya Pradesh,EEE,Tier-3,6.67,63.33,106,18,55,5,2,5,52.0,478,31.0,1,569,12,60,Yes,1,Not Placed,0.0
ST04338,18,Female,Maharashtra,IT,Tier-1,7.08,66.57,308,23,70,2,2,7,230.0,934,25.0,3,1817,13,72,Yes,5,Placed,20.09
ST04339,21,Female,Andhra Pradesh,CSE,Tier-3,8.12,90.63,186,42,83,6,1,2,116.0,534,44.0,5,1431,13,64,Yes,2,Placed,10.51
ST04340,22,Female,Maharashtra,AIML,Tier-1,7.82,76.74,297,57,100,2,1,2,230.0,991,80.0,4,1890,14,87,No,4,Placed,10.72
ST04341,19,Male,Tamil Nadu,Civil,Tier-2,8.81,81.39,127,66,64,6,2,4,47.0,203,37.0,2,586,23,66,No,3,Placed,7.23
ST04342,19,Male,Uttar Pradesh,AIML,Tier-3,7.1,68.93,158,43,47,4,1,6,132.0,636,42.0,4,1401,16,55,No,2,Not Placed,0.0
ST04343,21,Male,Tamil Nadu,ECE,Tier-3,6.21,54.23,117,42,61,2,0,4,68.0,276,28.0,1,872,8,62,No,4,Not Placed,0.0
ST04344,20,Female,Gujarat,Chemical,Tier-2,6.87,63.06,196,38,19,2,2,6,86.0,337,7.0,0,977,26,34,Yes,2,Placed,2.16
ST04345,22,Male,Maharashtra,CSE,Tier-2,6.73,66.88,191,40,34,2,2,5,91.0,1293,10.0,2,1567,17,40,No,1,Placed,12.8
ST04346,24,Male,Delhi,Civil,Tier-2,8.39,72.42,134,51,74,1,3,4,40.0,379,19.0,3,681,27,71,No,2,Placed,6.23
ST04347,22,Female,Delhi,Mechanical,Tier-3,8.98,78.6,126,41,41,6,0,3,70.0,423,0.0,1,811,29,47,No,1,Not Placed,0.0
ST04348,23,Male,Punjab,ECE,Tier-3,7.77,80.61,103,70,41,1,2,3,54.0,223,22.0,2,514,18,53,No,2,Placed,8.44
ST04349,21,Female,Maharashtra,Chemical,Tier-3,6.76,71.7,111,50,65,5,0,2,32.0,247,15.0,0,798,17,58,No,1,Not Placed,0.0
ST04350,23,Female,Tamil Nadu,CSE,Tier-2,7.72,77.56,198,52,59,3,1,4,101.0,416,37.0,0,1486,18,54,No,2,Placed,6.78
ST04351,20,Male,Gujarat,Civil,Tier-2,6.11,75.84,117,29,56,0,0,3,97.0,369,32.0,1,641,4,49,No,3,Not Placed,0.0
ST04352,19,Male,Gujarat,CSE,Tier-3,7.18,82.99,194,30,55,5,1,5,48.0,402,27.0,4,1774,6,48,No,0,Placed,7.94
ST04353,22,Female,Uttar Pradesh,IT,Tier-3,5.93,62.35,144,9,62,4,0,6,71.0,940,75.0,0,1367,14,54,No,0,Not Placed,0.0
ST04354,19,Male,Telangana,CSE,Tier-3,7.76,77.59,200,38,73,3,1,2,56.0,825,51.0,1,1430,18,55,No,0,Placed,6.75
ST04355,23,Other,Odisha,ECE,Tier-1,7.61,77.43,194,44,42,5,1,0,60.0,483,8.0,3,825,24,46,No,2,Placed,11.96
ST04356,22,Male,Tamil Nadu,CSE,Tier-2,8.2,77.91,198,28,63,5,1,3,99.0,1391,62.0,2,1342,26,55,No,1,Placed,20.86
ST04357,24,Male,Karnataka,AIML,Tier-3,7.98,72.56,194,38,70,0,1,4,177.0,559,32.0,5,1632,15,52,Yes,6,Not Placed,0.0
ST04358,20,Male,Odisha,CSE,Tier-3,6.88,65.0,161,31,17,2,0,3,68.0,904,0.0,4,1328,28,27,No,2,Not Placed,0.0
ST04359,21,Female,Punjab,IT,Tier-3,8.21,74.94,363,54,59,2,2,5,89.0,707,37.0,3,2258,21,49,No,5,Placed,12.34
ST04360,22,Male,Karnataka,CSE,Tier-3,6.34,71.81,165,42,48,6,0,4,180.0,746,8.0,1,1537,21,47,No,3,Placed,6.69
ST04361,20,Female,Kerala,Mechanical,Tier-2,9.74,88.44,166,43,36,4,1,1,53.0,304,7.0,4,625,25,51,Yes,1,Placed,9.52
ST04362,21,Female,Tamil Nadu,EEE,Tier-2,6.36,69.13,123,28,51,5,0,7,44.0,213,29.0,2,940,27,54,Yes,3,Not Placed,0.0
ST04363,22,Male,Haryana,EEE,Tier-2,8.13,67.6,181,38,83,3,1,4,83.0,378,42.0,2,879,41,71,No,0,Placed,9.11
ST04364,25,Male,Delhi,Mechanical,Tier-1,8.81,70.95,179,34,35,2,1,3,72.0,330,28.0,2,722,31,37,No,4,Placed,9.31
ST04365,22,Male,Telangana,CSE,Tier-3,7.5,65.44,186,33,61,2,3,0,51.0,1457,51.0,3,1427,10,62,Yes,4,Placed,6.46
ST04366,19,Female,Bihar,AIML,Tier-2,6.62,70.33,199,38,39,2,2,9,163.0,994,42.0,5,1502,14,41,No,2,Placed,6.14
ST04367,21,Male,Punjab,Mechanical,Tier-2,6.84,62.03,97,16,87,4,1,6,88.0,301,39.0,1,516,33,76,No,1,Placed,7.79
ST04368,21,Female,Maharashtra,ECE,Tier-2,6.63,65.49,81,41,97,1,1,1,23.0,327,48.0,2,460,14,79,No,0,Not Placed,0.0
ST04369,20,Female,Gujarat,EEE,Tier-3,7.35,84.53,64,27,36,1,0,2,37.0,187,24.0,3,649,13,45,No,0,Not Placed,0.0
ST04370,21,Male,Punjab,CSE,Tier-3,8.02,74.22,268,25,48,7,0,3,135.0,639,0.0,1,1756,20,55,No,4,Placed,11.94
ST04371,20,Male,Andhra Pradesh,IT,Tier-2,7.91,75.64,214,34,67,3,1,2,93.0,1191,21.0,5,1692,16,57,No,3,Placed,13.09
ST04372,19,Female,Tamil Nadu,ECE,Tier-3,7.4,64.3,157,37,69,4,0,4,34.0,317,28.0,5,877,12,65,No,2,Not Placed,0.0
ST04373,21,Female,Karnataka,Mechanical,Tier-3,6.16,69.14,116,38,58,6,0,1,25.0,515,70.0,2,649,8,61,Yes,3,Not Placed,0.0
ST04374,20,Female,Chhattisgarh,Civil,Tier-3,8.8,66.3,94,39,27,5,0,2,39.0,199,16.0,2,387,23,32,No,1,Not Placed,0.0
ST04375,21,Male,Uttar Pradesh,EEE,Tier-2,7.35,74.26,105,45,41,1,3,1,33.0,270,28.0,1,452,24,47,No,3,Placed,9.26
ST04376,20,Male,Telangana,Mechanical,Tier-2,7.18,63.98,143,40,57,3,0,5,47.0,369,0.0,0,751,8,46,No,3,Placed,1.53
ST04377,22,Male,Delhi,EEE,Tier-3,7.55,83.16,99,55,41,2,0,4,40.0,670,16.0,2,573,13,46,No,2,Not Placed,0.0
ST04378,20,Female,Maharashtra,Civil,Tier-1,9.79,83.58,853,86,86,9,3,1,491.0,3043,24.0,2,1789,3,61,No,3,Placed,40.34
ST04379,23,Male,Maharashtra,Mechanical,Tier-2,7.45,69.07,161,32,36,1,1,2,42.0,217,27.0,1,520,8,37,No,0,Not Placed,0.0
ST04380,18,Female,Karnataka,AIML,Tier-1,7.57,63.04,236,75,48,4,0,4,58.0,453,40.0,3,1553,18,57,No,1,Placed,10.13
ST04381,21,Male,Maharashtra,AIML,Tier-2,7.35,70.14,187,52,36,4,3,4,114.0,561,14.0,5,1107,12,49,No,1,Placed,12.03
ST04382,20,Female,Madhya Pradesh,Civil,Tier-2,8.54,65.52,128,36,64,4,2,5,30.0,159,54.0,1,577,30,62,No,4,Placed,2.68
ST04383,20,Male,Karnataka,EEE,Tier-2,6.44,67.93,100,46,67,4,1,6,79.0,274,40.0,2,544,13,63,No,3,Not Placed,0.0
ST04384,21,Female,Karnataka,ECE,Tier-1,7.72,68.26,230,68,63,6,2,7,70.0,324,45.0,2,971,12,54,Yes,2,Placed,7.43
ST04385,23,Male,Andhra Pradesh,Mechanical,Tier-3,6.83,79.62,177,38,23,4,1,3,39.0,314,6.0,2,863,15,38,No,1,Not Placed,0.0
ST04386,23,Female,Madhya Pradesh,AIML,Tier-3,7.17,58.18,181,40,53,3,2,3,94.0,539,7.0,2,1335,23,50,No,2,Placed,6.75
ST04387,20,Male,Maharashtra,Mechanical,Tier-1,8.46,67.66,205,36,62,5,1,3,44.0,404,17.0,2,893,17,69,Yes,4,Placed,11.65
ST04388,20,Male,Karnataka,ECE,Tier-3,7.24,79.07,196,53,69,2,0,2,80.0,461,78.0,3,745,19,51,No,1,Placed,8.56
ST04389,22,Male,Gujarat,Civil,Tier-2,7.27,68.83,130,45,54,1,2,4,33.0,242,11.0,2,728,32,38,No,2,Placed,4.52
ST04390,21,Male,Telangana,EEE,Tier-3,5.35,77.59,176,7,34,3,0,2,46.0,409,0.0,4,950,12,42,No,2,Not Placed,0.0
ST04391,20,Male,Delhi,AIML,Tier-2,8.17,76.23,247,42,56,3,0,8,65.0,303,37.0,2,1663,34,61,No,1,Not Placed,0.0
ST04392,22,Male,Maharashtra,Chemical,Tier-3,5.97,70.54,113,30,40,4,1,0,85.0,252,16.0,2,706,15,40,No,2,Not Placed,0.0
ST04393,21,Male,Kerala,IT,Tier-1,7.35,75.6,232,35,54,7,1,7,101.0,732,28.0,4,1791,23,55,Yes,0,Placed,13.23
ST04394,22,Male,Andhra Pradesh,Mechanical,Tier-2,6.77,74.35,112,32,48,0,0,3,64.0,285,12.0,2,581,5,53,Yes,2,Not Placed,0.0
ST04395,21,Male,Haryana,AIML,Tier-3,5.41,65.76,225,5,44,0,0,1,324.0,1146,46.0,3,2045,12,37,No,3,Placed,10.89
ST04396,21,Female,Odisha,IT,Tier-3,7.47,72.67,159,67,45,4,0,3,46.0,315,2.0,3,1514,26,47,No,1,Placed,6.9
ST04397,20,Male,Rajasthan,Mechanical,Tier-2,7.14,81.29,108,35,48,1,0,3,42.0,222,4.0,0,620,3,39,No,3,Not Placed,0.0
ST04398,22,Male,Maharashtra,Mechanical,Tier-2,7.94,70.13,168,63,66,2,0,4,49.0,488,25.0,2,900,19,64,Yes,2,Placed,5.41
